,Şehir,Tarih,İlan Sayısı
0,Adana,2019,267
1,Adana,2020,446
2,Adıyaman,2019,39
3,Adıyaman,2020,74
4,Afyon,2019,50
5,Afyon,2020,94
6,Aksaray,2019,50
7,Aksaray,2020,87
8,Amasya,2019,106
9,Amasya,2020,129
10,Ankara,2019,4382
11,Ankara,2020,4896
12,Antalya,2019,518
13,Antalya,2020,613
14,Ardahan,2019,29
15,Ardahan,2020,64
16,Artvin,2019,32
17,Artvin,2020,68
18,Aydın,2019,97
19,Aydın,2020,198
20,Ağrı,2019,32
21,Ağrı,2020,74
22,Balıkesir,2019,100
23,Balıkesir,2020,191
24,Bartın,2019,34
25,Bartın,2020,70
26,Batman,2019,33
27,Batman,2020,80
28,Bayburt,2019,25
29,Bayburt,2020,61
30,Bilecik,2019,76
31,Bilecik,2020,103
32,Bingöl,2019,25
33,Bingöl,2020,58
34,Bitlis,2019,22
35,Bitlis,2020,60
36,Bolu,2019,58
37,Bolu,2020,99
38,Burdur,2019,36
39,Burdur,2020,74
40,Bursa,2019,1319
41,Bursa,2020,1399
42,Denizli,2019,127
43,Denizli,2020,218
44,Diyarbakır,2019,74
45,Diyarbakır,2020,153
46,Düzce,2019,113
47,Düzce,2020,164
48,Edirne,2019,56
49,Edirne,2020,107
50,Elazığ,2019,48
51,Elazığ,2020,91
52,Erzincan,2019,32
53,Erzincan,2020,74
54,Erzurum,2019,44
55,Erzurum,2020,124
56,Eskişehir,2019,402
57,Eskişehir,2020,435
58,Gaziantep,2019,214
59,Gaziantep,2020,410
60,Giresun,2019,37
61,Giresun,2020,70
62,Gümüşhane,2019,33
63,Gümüşhane,2020,72
64,Hakkari,2019,21
65,Hakkari,2020,62
66,Hatay,2019,97
67,Hatay,2020,140
68,Isparta,2019,46
69,Isparta,2020,93
70,Iğdır,2019,31
71,Iğdır,2020,70
72,Kahramanmaraş,2019,75
73,Kahramanmaraş,2020,157
74,Karabük,2019,28
75,Karabük,2020,67
76,Karaman,2019,36
77,Karaman,2020,80
78,Kars,2019,28
79,Kars,2020,68
80,Kastamonu,2019,36
81,Kastamonu,2020,79
82,Kayseri,2019,233
83,Kayseri,2020,353
84,Kilis,2019,28
85,Kilis,2020,60
86,Kocaeli,2019,1670
87,Kocaeli,2020,1866
88,Konya,2019,265
89,Konya,2020,424
90,Kütahya,2019,64
91,Kütahya,2020,109
92,Kırklareli,2019,60
93,Kırklareli,2020,114
94,Kırıkkale,2019,39
95,Kırıkkale,2020,80
96,Kırşehir,2019,45
97,Kırşehir,2020,77
98,Malatya,2019,58
99,Malatya,2020,118
100,Manisa,2019,337
101,Manisa,2020,431
102,Mardin,2019,46
103,Mardin,2020,78
104,Mersin,2019,199
105,Mersin,2020,264
106,Muğla,2019,111
107,Muğla,2020,198
108,Muş,2019,22
109,Muş,2020,64
110,Nevşehir,2019,34
111,Nevşehir,2020,73
112,Niğde,2019,42
113,Niğde,2020,90
114,Ordu,2019,43
115,Ordu,2020,101
116,Osmaniye,2019,41
117,Osmaniye,2020,79
118,Rize,2019,36
119,Rize,2020,74
120,Sakarya,2019,268
121,Sakarya,2020,376
122,Samsun,2019,113
123,Samsun,2020,225
124,Siirt,2019,21
125,Siirt,2020,62
126,Sinop,2019,32
127,Sinop,2020,69
128,Sivas,2019,45
129,Sivas,2020,103
130,Tekirdağ,2019,496
131,Tekirdağ,2020,535
132,Tokat,2019,32
133,Tokat,2020,78
134,Trabzon,2019,72
135,Trabzon,2020,146
136,Tunceli,2019,19
137,Tunceli,2020,57
138,Uşak,2019,36
139,Uşak,2020,70
140,Van,2019,38
141,Van,2020,92
142,Yalova,2019,93
143,Yalova,2020,173
144,Yozgat,2019,37
145,Yozgat,2020,66
146,Zonguldak,2019,71
147,Zonguldak,2020,100
148,Çanakkale,2019,58
149,Çanakkale,2020,109
150,Çankırı,2019,28
151,Çankırı,2020,70
152,Çorum,2019,56
153,Çorum,2020,81
154,İstanbul,2019,22189
155,İstanbul,2020,23871
156,İzmir,2019,1663
157,İzmir,2020,2247
158,Şanlıurfa,2019,60
159,Şanlıurfa,2020,107
160,Şırnak,2019,22
161,Şırnak,2020,62
