,Cinsiyet,Tarih,İlan Sayısı
0,Kadın,2019-1,42570
1,Erkek,2019-1,70265
2,Kadın,2019-2,57277
3,Erkek,2019-2,91353
4,Kadın,2019-3,55582
5,Erkek,2019-3,88656
6,Kadın,2019-4,51382
7,Erkek,2019-4,84130
8,Kadın,2019-5,55376
9,Erkek,2019-5,93373
10,Kadın,2019-6,53212
11,Erkek,2019-6,90296
12,Kadın,2019-7,66269
13,Erkek,2019-7,106871
14,Kadın,2019-8,60631
15,Erkek,2019-8,93189
16,Kadın,2019-9,60427
17,Erkek,2019-9,93227
18,Kadın,2019-10,56901
19,Erkek,2019-10,90106
20,Kadın,2019-11,55059
21,Erkek,2019-11,90704
22,Kadın,2019-12,55383
23,Erkek,2019-12,90814
24,Kadın,2020-1,57179
25,Erkek,2020-1,93712
26,Kadın,2020-2,55028
27,Erkek,2020-2,87638
28,Kadın,2020-3,44276
29,Erkek,2020-3,75370
30,Kadın,2020-4,25353
31,Erkek,2020-4,45211
32,Kadın,2020-5,35823
33,Erkek,2020-5,58607
34,Kadın,2020-6,44160
35,Erkek,2020-6,75297
36,Kadın,2020-7,44726
37,Erkek,2020-7,76435
38,Kadın,2020-8,48321
39,Erkek,2020-8,79611
40,Kadın,2020-9,56849
41,Erkek,2020-9,89548
42,Kadın,2020-10,58238
43,Erkek,2020-10,86380
44,Kadın,2020-11,48415
45,Erkek,2020-11,74625
46,Kadın,2020-12,47135
47,Erkek,2020-12,73581
